Name,Team,Age,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Location+,F-Strike%,K-BB%,Location+,PlayerId,MLBAMID
Drew Pomeranz,CHC,36,46.1,103.46603508771932,,,,,,,114.02804597701147,,105.08275303643721,0.65263158,0.21052632,105.08275303643721,11426,519141
Brenan Hanifee,DET,27,60,75.29779817,104.93709030100337,,,108.95190000000001,,89.66750000000002,,,105.00778366914102,0.65,0.1,105.00778366914102,22304,669724
Pierce Johnson,ATL,34,59,79.49179723502304,,81.96754717,,,107.47988522238167,,,,104.5436776859504,0.65966387,0.16806723,104.5436776859504,13435,572955
Max Lazar,PHI,26,41.1,90.90666666666667,,82.93757575757576,103.27809523809525,,,,87.56201183431952,,104.50446376811591,0.56470588,0.08235294,104.50446376811591,23426,676661
Kyle Leahy,STL,28,85,102.52768844221103,104.92147368421051,,,100.49892514395394,107.05403100775189,88.57170731707313,,,104.48456284152999,0.6920904,0.1440678,104.48456284152999,24763,681517
Raisel Iglesias,ATL,35,67.1,96.73947506561679,98.27410138248848,,,124.36610526315786,,85.62538745387454,,,104.42245067497404,0.62030075,0.21428572,104.42245067497404,17130,628452
Joe Ross,PHI,32,49,87.04566038,96.40453703703706,,,100.37759562841529,118.64999999999998,77.88086957,,,104.40797118847533,0.6347032,0.0913242,104.40797118847533,12972,605452
Jose A. Ferrer,WSN,25,76.1,,108.19181711606099,,,127.59133333333332,,110.29079245283023,,,104.34291390728477,0.66975309,0.16975309,104.34291390728477,24017,678606
Pete Fairbanks,TBR,31,60.1,99.27730158730158,,141.08761904761906,,125.29647959183674,,94.95541666666664,,,104.3309257375381,0.61065574,0.16803279,104.3309257375381,17998,664126
Kyle Finnegan,- - -,33,57,100.61574036511156,,,110.33076433121019,111.2625641025641,,,,,104.32090649799767,0.64628821,0.16157205,104.32090649799767,15009,640448
Hogan Harris,ATH,28,64.2,94.28346456692914,86.17333333333333,101.79875,,96.20564102564104,93.12976562499999,105.07013513513516,,,104.18609388839684,0.6101083,0.11552347,104.18609388839684,21520,663687
Cole Sands,MIN,27,67,88.95643356643353,86.29063829787236,101.27603053435116,88.69746835,,121.15387755102043,,,,104.05951627906975,0.60142349,0.14590747,104.05951627906975,21461,663485
Luke Jackson,- - -,33,51,92.75686567,,74.14333333333333,,92.89999239161644,94.3107438,128.06,,,103.95701019564117,0.60730594,0.0456621,103.95701019564117,11752,592426
Eduard Bazardo,SEA,29,78.2,92.52857142857142,102.67577464788731,100.57333333333334,89.59439999999998,110.10622137404577,,,,,103.85462418300652,0.65175719,0.17571885,103.85462418300652,20997,660825
Nick Mears,MIL,28,56.2,97.13088105726868,,,,104.43202247191007,97.23485714285714,,,,103.8108442330559,0.65158371,0.14932127,103.8108442330559,25376,683232
Spencer Bivens,SFG,31,81,96.43011235955055,97.87562372,93.05952662721893,,128.18112,107.82000000000004,90.15979797979797,,,103.76697852760744,0.65014577,0.10495627,103.76697852760744,30226,702352
Orion Kerkering,PHI,24,60,109.0764383561644,112.65544041450777,,,134.11581056466298,,,,,103.74809399477807,0.61654135,0.14285714,103.74809399477807,31776,689147
Bryan Baker,- - -,30,68.2,95.43258687258688,,,,109.90645953103804,,129.0475570032573,,,103.69998975940055,0.63868613,0.24087591,103.69998975940055,19804,641329
Steven Wilson,CHW,30,55.1,95.95092024539879,,98.36363636363636,,100.08138053097342,,95.25942857142857,,,103.37358762886599,0.54771784,0.12033195,103.37358762886599,20353,621051
Hunter Gaddis,CLE,27,66.2,90.11976945244959,,,,94.58816399286988,,106.4188489208633,,,103.34636625119852,0.66788321,0.18978102,103.34636625119852,25636,683769
Taylor Clarke,KCR,32,55.1,81.65343589743588,93.19934210526314,,,103.27510204081635,,106.75727272727273,,,103.14945412311269,0.66019417,0.16990291,103.14945412311269,17611,664199
Grant Anderson,MIL,28,69.2,107.63777202072542,107.9738888888889,,,100.68836772983113,,85.91826086956523,,,102.81367999999999,0.62876254,0.15050167,102.81367999999999,20546,681982
Brock Burke,LAA,28,60.2,97.18236966824644,107.9615,,,102.31678832116783,,108.1545945945946,,,102.44460774577949,0.61264822,0.13043478,102.44460774577949,17968,656271
Victor Vodnik,COL,25,50.2,93.83460194,,104.95590909090907,,111.19133333333333,,94.65625,,,102.28023965141611,0.55813953,0.10697674,102.28023965141611,24614,680767
Casey Legumina,SEA,28,48.2,109.15770354906049,95.00178861788615,,,122.8524358974359,,87.92131868131868,,,102.24898245614042,0.63084112,0.14018692,102.24898245614042,25921,668984
Adrian Morejon,SDP,26,73.2,113.54967741935484,116.8037337662337,99.57028571428572,,130.3398374,,122.23575757575755,,,102.2269522,0.68881119,0.18531469,102.2269522,20039,670970
Lucas Erceg,KCR,30,61.1,92.58249999999998,114.58040201005025,,,110.15243816254419,,93.87888198757763,,,102.16771604938269,0.64257028,0.12048193,102.16771604938269,19360,668674
Aaron Ashby,MIL,27,64.2,91.09272727272729,119.32149606299208,,,156.18641975308643,124.0765019011407,119.4688888888889,,,102.1563855421687,0.59848485,0.18560606,102.1563855421687,23550,676879
Jake Bird,- - -,29,55.1,66.95666666666666,89.35911949685536,116.5225,,125.39958441558448,133.93669724770643,,,,102.1473022297016,0.60080645,0.16532258,102.1473022297016,21267,656234
Louis Varland,- - -,27,70.2,113.88444924406048,111.8633846153846,,,97.35462910798124,,87.82775510204081,112.86564251588436,,101.97021642312879,0.64137931,0.17241379,101.97021642312879,27691,686973
Emmanuel Clase,CLE,27,47.1,,100.13,121.84609708737862,,122.8072321428571,,,,,101.96906166219841,0.59701493,0.17412935,101.96906166219841,21032,661403
Phil Maton,- - -,32,61.1,,83.87318072770893,91.40158904109592,,94.84576074998802,126.26630837618757,,,,101.84718480476973,0.59274194,0.23387097,101.84718480476973,18064,664208
Kolby Allard,CLE,27,57.2,81.64719033232629,90.80404494382024,93.73988888888887,,,84.79457627118644,89.86474576271188,,,101.8442969628796,0.63179916,0.08368201,101.8442969628796,18694,663465
Ben Casparius,LAD,26,68,95.57119999999999,74.08133333333333,106.42674897119342,,134.86483394833945,117.97168831168835,,,,101.78824355971895,0.56551724,0.14827586,101.78824355971895,30085,676508
Greg Weissert,BOS,30,67,92.82947075208914,96.71138983050847,,,105.03202898550725,143.96250000000003,87.03326923076922,,,101.73432029795158,0.56115108,0.1294964,101.73432029795158,20375,669711
Tyler Holton,DET,29,70.1,94.29133333333333,111.10184331797234,94.80858044164036,,118.64963350785344,144.31128205128206,86.57825503355708,,,101.73334634146347,0.63082437,0.12903226,101.73334634146347,26231,663947
Wandy Peralta,SDP,33,70.1,81.18724137931034,96.18975308641974,,,104.47260869565216,,102.57383033419022,,,101.6332735426009,0.64724919,0.10032363,101.6332735426009,14295,593974
Caleb Thielbar,CHC,38,58,96.08067988668552,,,,118.5522529644269,124.36025423728809,,,,101.62978571428563,0.65,0.19545455,101.62978571428563,10078,573204
Trent Thornton,SEA,31,42.1,96.75493087557605,86.57499999999999,101.41482993197282,92.58266666666668,104.02689189189189,97.82147540983607,86.01333333333335,,,101.48081395348828,0.63888889,0.1,101.48081395348828,17948,663423
Chad Green,TOR,34,43.2,99.90997199,89.3425,,,101.52629080118695,,,,,101.37375706214691,0.64210526,0.11578947,101.37375706214691,15552,643338
Angel Chivilli,COL,22,58.2,91.06840085287844,,,,109.5059550561798,,91.83786096256686,,,101.2841528,0.55636364,0.07272727,101.2841528,26790,683409
Ryne Stanek,NYM,33,56,104.02056013179573,118.34,,133.61888888888888,130.60824242424246,,,,,101.16749529190209,0.61176471,0.10196078,101.16749529190209,15947,592773
Tanner Scott,LAD,30,57,113.80816666666668,,,,120.05375586854457,,,,,101.06459161147912,0.65966387,0.17647059,101.06459161147912,17586,656945
Devin Williams,NYY,30,62,103.08386363636363,,81.24,,,,124.66414383561641,,,101.05980198019803,0.59459459,0.25096525,101.05980198019803,15816,642207
Jonathan Bowlan,KCR,28,42.1,106.13412280701755,101.59830508474575,,,109.77596412556052,94.575625,88.43655172413791,,,101.01976845151952,0.67251462,0.15789474,101.01976845151952,24607,680742
Graham Ashcraft,CIN,27,65.1,,,116.73597864768682,,128.11468354430374,,,,,100.95150339476236,0.61619718,0.13732394,100.95150339476236,27552,668933
Jordan Romano,PHI,32,42.2,102.37348837209298,,,,102.79746606334842,,,,,100.68845714285712,0.60962567,0.16042781,100.68845714285712,16122,605447
Robert Garcia,TEX,29,64,102.17797701149428,,,,106.71753846153848,,99.73875457875455,,,100.59762396694214,0.7063197,0.17100372,100.59762396694214,23363,676395
JoJo Romero,STL,28,61,88.88610169491524,112.66407523510966,68.08,,112.65074866310165,103.13833333333334,89.60941704035874,,,100.52916666666665,0.58823529,0.10196078,100.52916666666665,19574,668941
Mark Leiter Jr.,NYY,34,48.1,69.11999999999999,93.39968944099377,71.58666666666666,94.36924901185769,93.76315789473684,73.77433962264152,,,,100.43179734620031,0.59817352,0.16894977,100.43179734620031,15551,643410
Génesis Cabrera,- - -,28,42.2,103.50193548387097,96.05153846153847,109.92657534246575,112.25849462365592,,101.3482014388489,,,,100.41140566141534,0.57219251,0.09090909,100.41140566141534,17490,650893
Josh Hader,HOU,31,52.2,,121.41773420479302,,,118.05714285714281,,80.66540540540541,,,100.27926190476195,0.71359223,0.29126214,100.27926190476195,14212,623352
Connor Brogdon,LAA,30,47,107.03704545454546,,99.16250000000002,,,,106.95573863636368,,,100.22482593037215,0.62311558,0.15577889,100.22482593037215,21205,641401
Jacob Latz,TEX,29,46,108.48610526315791,,,,102.74327044025156,82.87488372093023,99.97011111111108,,,100.15267716535436,0.60406091,0.10152284,100.15267716535436,21306,656641
Garrett Cleavinger,TBR,31,61.1,120.63669724770642,99.27331269349847,106.936,,118.17917431192656,,,,,99.95519818799548,0.68312757,0.26337449,99.95519818799548,17897,664076
Taylor Rogers,- - -,34,50.2,95.36,92.05931506849313,,,115.84430769230768,,,,,99.91509242123568,0.61538462,0.13574661,99.91509242123568,13449,573124
Calvin Faucher,MIA,29,60.1,89.25597826086958,107.64542635658916,106.1839694656489,,128.45989473684213,124.75201877934269,96.78,,,99.86130397967823,0.61176471,0.1372549,99.86130397967823,20116,676534
Caleb Ferguson,- - -,28,65.1,103.44437689969604,118.10033057851243,112.9228689,,,97.48406115573982,,,,99.84912808256118,0.58148148,0.10740741,99.84912808256118,19349,657571
Tony Santillan,CIN,28,73.2,88.97026282853568,,,,113.1169607843137,109.48532319391634,64.5,,,99.76744664031614,0.64784053,0.15282392,99.76744664031614,19926,663574
Matt Svanson,STL,26,60.1,90.01866666666666,103.07019780219778,99.27620253164558,,124.81367164179099,,,,,99.76569358178054,0.65384615,0.20512821,99.76569358178054,29629,694335
Tyler Kinley,- - -,34,72.2,66.58207142857144,,,,116.1123938735544,131.39373223055057,100.16,,,99.74995090755196,0.5974026,0.12987013,99.74995090755196,18297,641755
Jared Koenig,MIL,31,66,143.34545454545454,98.85559322,100.09091891891896,,,143.05308641975313,84.14610526315788,,,99.53343599615012,0.60820896,0.17910448,99.53343599615012,27517,657649
Tristan Beck,SFG,29,53.2,86.79533073929959,,,,105.15160104986876,75.81124088,,,,99.51290323,0.64840183,0.10958904,99.51290323,21584,663941
Bennett Sousa,HOU,30,50.2,93.27315254237288,96.99,,,116.84619385342792,,,,,99.49052631578944,0.5879397,0.22110553,99.49052631578944,21345,656986
Carlos Vargas,SEA,25,77,106.63315789473684,116.15066282420752,107.0295652173913,,118.4729756097561,,120.10761904761905,,,99.18417641764174,0.6163142,0.09365559,99.18417641764174,22915,672841
Dennis Santana,PIT,29,70.1,87.65958620689649,93.99569620253166,92.09747572815532,,106.50047311827957,,82.8259375,,,99.16953326713008,0.69259259,0.15925926,99.16953326713008,17878,642701
Luke Weaver,NYY,31,64.2,102.7647133757962,,80.96549451,,80.31375,,90.42907348242811,,,99.15587059942911,0.64503817,0.19847328,99.15587059942911,16918,596133
Abner Uribe,MIL,25,75.1,105.75833333333335,107.83652027027024,,,128.62433644859817,,,,,99.06241796200347,0.55033557,0.2114094,99.06241796200347,25327,682842
Tyler Gilbert,CHW,31,44.1,107.212,93.80596638655462,94.71358208955222,73.87137931034482,110.73958188153311,,,,,98.99370644139391,0.57591623,0.09947644,98.99370644139391,17964,656457
Camilo Doval,- - -,27,65.1,,88.4961039,86.66418511066398,,123.57321672967865,,,,,98.96904995125848,0.56115108,0.13309353,98.96904995125848,21992,666808
Carmen Mlodzinski,PIT,26,50.1,84.17105263157896,117.995303,,119.19220779220781,107.83663865546218,102.04517857142856,,,,98.79860416666658,0.62745098,0.20588235,98.79860416666658,27572,669387
Braydon Fisher,TOR,24,48.2,75.88786127,,76.19120000000001,,122.9684175084175,108.80710963455152,,,,98.79700628930823,0.60621762,0.22279793,98.79700628930823,24609,680755
Ryan Thompson,ARI,33,41.1,111.71559999999998,114.87449101796403,,100.38,118.98819923371651,,,,,98.77692546583853,0.66857143,0.13142857,98.77692546583853,16647,657044
Brent Suter,CIN,35,59.2,108.94883054892601,102.35589041095888,,,83.36256410256411,,107.31327272727273,,,98.71453044375646,0.66409266,0.12355212,98.71453044375646,13942,608718
Carlos Estévez,KCR,32,66,96.23082437275987,,,,110.9803105590062,,81.83558282208588,,,98.68466411,0.64312268,0.11895911,98.68466411,14542,608032
Danny Coulombe,- - -,35,42,87.26088889,93.43804511278196,112.11060070671374,,119.47087967995827,,,130.36,,98.56595693239024,0.56725146,0.13450292,98.56595693239024,13293,543056
Ryan Rolison,COL,27,41.1,88.86221498371336,,,,97.46018181818182,89.84552036199094,87.31304347826088,,,98.53409091,0.65079365,0.02116402,98.53409091,22200,669020
Carlos Hernández,- - -,28,43.1,109.89678756476685,114.9081818181818,,92.32609271523178,113.68042505592842,,,103.26279999999998,,98.33195136328743,0.60098522,0.08374384,98.33195136328743,22713,672578
Jimmy Herget,COL,31,83.1,72.25557894736839,74.94421052631579,,,93.84584269662925,118.17281407035172,75.50169014084507,,,98.05467918622851,0.63976945,0.15850144,98.05467918622851,17556,623474
Kenley Jansen,LAA,37,59,,118.4597435897436,113.17679432624114,,119.73495145631071,,,,,97.90348315,0.62820513,0.16239316,97.90348315,3096,445276
Angel Zerpa,KCR,25,62.2,89.75107981220656,124.57095948827295,,,125.3724198250729,,92.1895,,,97.79802445907804,0.64552239,0.13059702,97.79802445907804,22717,672582
Sean Newcomb,- - -,32,70,96.87541284403669,98.22099869815881,91.17557522123894,,,119.13062679585698,85.34571428571428,,,97.57678763,0.59090909,0.15384615,97.57678763,16943,656794
Anthony Bender,MIA,30,50,86.54461538461538,105.59009615384618,,,119.82488805970148,,101.30074074074075,,,97.43505102040817,0.57843137,0.10294118,97.43505102040817,19742,669622
Jhoan Duran,- - -,27,70,108.64333333333336,,,124.51939252336446,131.84709677419355,,,155.46213592233008,,97.30495876995086,0.57491289,0.21254355,97.30495876995086,21029,661395
Huascar Brazobán,NYM,35,59,92.37644067796612,103.0792022792023,100.76643478260874,,,,108.20016483516484,,,97.13826271,0.59919028,0.11336032,97.13826271,6107,623211
Steven Okert,HOU,33,70,97.34660377358489,,95.91333333333334,,128.19293718166386,,143.58,,,97.08425490196079,0.5962963,0.23333333,97.08425490196079,13580,595345
Mitch Spence,ATH,27,45.2,,79.19649122807017,94.12325967,,108.17680412371135,118.12796875000002,82.78999999999999,,,97.00449197860961,0.62871287,0.11386139,97.00449197860961,27707,687765
Tim Hill,NYY,35,67,106.99040650406506,126.11356852103127,,,101.36717948717953,,,,,96.98071668533038,0.7063197,0.07806692,96.98071668533038,16814,657612
Justin Wilson,BOS,37,48.1,104.09342036553528,,90.41583333333331,113.56195121951221,111.9860294117647,,,,,96.84664215686277,0.61835749,0.17874396,96.84664215686277,4301,458677
Valente Bellozo,MIA,25,56.1,81.53309803921569,,96.99871382636657,,123.13640624999998,97.01567567567568,84.18251572327044,,,96.80811299,0.63636364,0.09917355,96.80811299,23899,678368
Emilio Pagán,CIN,34,68.2,115.64996941896027,,101.08994974874372,111.20548837209304,,,,,,96.78182502,0.64444444,0.21851852,96.78182502,14771,641941
Reed Garrett,NYM,32,54.1,120.95095238095234,112.57601731601734,108.77188191881918,115.29290322580646,119.25881773399017,,,,,96.76335403726708,0.64255319,0.15319149,96.76335403726708,16866,657585
José Buttó,- - -,27,67,99.46153846153847,97.01344086021507,,,100.63114612794614,,89.05385542168673,,,96.67514940002812,0.6056338,0.0915493,96.67514940002812,23313,676130
Ryan Walker,SFG,29,61.1,,100.0639622641509,,,123.14997375328083,,,,,96.64779527559058,0.59022556,0.15789474,96.64779527559058,20423,676254
Lake Bachar,MIA,30,69,97.45671568627452,,,100.84478260869565,103.60397137745979,,,,,96.57402173913049,0.58680556,0.14930556,96.57402173913049,19222,669199
Isaac Mattson,PIT,29,47.2,96.05073649754503,,,,101.95676470588238,86.09111111,94.28043478260872,,,96.52855297157622,0.65656566,0.13131313,96.52855297157622,20385,676755
Kirby Yates,LAD,38,41.1,96.37677272727274,,,91.55999999999999,,,,,,96.29427821522316,0.61235955,0.19662921,96.29427821522316,9073,489446
Yennier Cano,BAL,31,58,68.59153153153154,113.05511013215863,83.62571428571428,103.00732394366197,112.7841414141414,,82.63804878048782,,,96.18180758017488,0.58964143,0.11553785,96.18180758017488,25911,666974
Ronny Henriquez,MIA,25,73,119.20790697674416,117.68833333333333,,,111.11779632721205,,89.06593749999998,,,95.95651122625216,0.61716172,0.23432343,95.95651122625216,24094,678692
Jordan Leasure,CHW,26,63.1,106.7806896551724,,,101.5288888888889,89.50215189873417,,,,,95.85379621,0.58490566,0.18867925,95.85379621,29950,673929
Jack Dreyer,LAD,26,68,103.1361194029851,,,,95.84874200426438,89.3585,,,,95.76691625615766,0.57352941,0.16544118,95.76691625615766,30249,676263
Alex Vesia,LAD,29,59.2,119.05782312925167,,,,121.17170731707316,,105.19396825396827,,,95.63998031496068,0.60759494,0.24472574,95.63998031496068,25007,681911
Yuki Matsui,SDP,29,63.1,98.62009259259256,100.54,,109.08196531791904,102.45708185053385,120.3,,,,95.62776625824692,0.56985294,0.10294118,95.62776625824692,33826,673513
Juan Mejia,COL,24,61.1,84.32872576177287,,,,134.32244318181822,,,,,95.59772388059703,0.54789272,0.16475096,95.59772388059703,23237,675848
Sam Long,KCR,29,40.1,85.14229390681002,100.36939759036147,,93.31945205479454,102.88234146341463,93.12123288,,,,95.54935687263556,0.55555556,0.05820106,95.54935687263556,25379,669674
Keegan Akin,BAL,30,59.2,101.73052631578945,,,,111.58240875912412,,92.98468749999999,,,95.54686475409834,0.66798419,0.09486166,95.54686475409834,19362,669211
Mike Vasil,CHW,25,90,92.73917098445598,93.77587030716724,100.31893617021274,,117.38103448275862,92.63067415730339,90.03988571428572,,,95.50070344827584,0.48247978,0.06738545,95.50070344827584,30105,678024
Randy Rodríguez,SFG,25,50.2,121.83022321428568,,,,121.0433983286908,,,,,95.41796273291929,0.57070707,0.28282828,95.41796273291929,23974,678495
Matt Festa,CLE,32,54.2,99.33925465838507,95.0003125,95.72957983193277,,104.48818181818179,,,,,95.20631319358813,0.65044248,0.18141593,95.20631319358813,19330,670036
Daniel Palencia,CHC,25,52.2,110.97299663299663,118.798,,125.29179487179488,131.32752577319587,103.26,,,,95.09144522144514,0.59534884,0.20930233,95.09144522144514,27914,694037
Ryan Helsley,- - -,30,56,105.08867415730336,,106.54153846153847,,148.20480634386638,130.27894736842106,,,,94.95808600754863,0.57142857,0.15079365,94.95808600754863,18138,664854
Tommy Kahnle,DET,35,63,88.11365517241377,,,,104,,91.27690744920994,,,94.89883720930226,0.56179775,0.07116105,94.89883720930226,11384,592454
Ryan Pressly,CHC,36,41.1,87.12724279835389,103.05948717948719,,,88.90628571428572,105.14913580246913,84.16108108,,,94.86006097560976,0.59340659,0.06043956,94.86006097560976,7005,519151
Jorge Alcala,- - -,29,55,94.29110655737705,103.71347517730497,,,107.98079153133645,137.68784605638265,66.18799999999999,,,94.48912697971438,0.61867704,0.12062257,94.48912697971438,19459,660896
Shawn Armstrong,TEX,34,70,102.05948387096777,106.99510204081635,93.58125000000001,,119.2376612903226,133.02,,,,94.24079320113307,0.67777778,0.18148148,94.24079320113307,12857,542888
Jason Adam,SDP,33,65.1,96.55506072874495,,119.99333333333334,,105.54703389830506,,105.67790633608816,,,94.23842738205364,0.55555556,0.16666667,94.23842738205364,11861,592094
Chase Shugart,PIT,28,45,96.76969230769232,93.76405797101448,102.16920454545452,,118.37668341708542,,78.09142857,,,94.08718614718609,0.55248619,0.07734807,94.08718614718609,21544,663767
Eric Orze,TBR,27,41.2,87.60378048780488,79.768,,116.87636363636362,75.24420454545455,,,,,94.05217918,0.65168539,0.11797753,94.05217918,27626,679358
Matt Strahm,PHI,33,62.1,113.67018766756033,105.40552631578949,91.70486486486487,,110.42280254777069,,106.29333333333334,,,94.04874493927132,0.640625,0.1953125,94.04874493927132,13799,621381
Kody Funderburk,MIN,28,41,,116.47181434599153,89.23104972375691,,107.98803418803422,,105.94206896551725,,,93.63339648173212,0.61748634,0.12021858,93.63339648173212,24993,681892
John King,STL,30,48.1,88.24153846153845,105.70086956521739,,,117.36809523809524,118.61894736842103,84.29721854304636,,,93.54895152,0.63963964,0.06306306,93.54895152,22051,667463
